Grid_Cell,pm_x,pm_y,pm_lat,pm_lon,ID,
6636.000000,-2104021.788109,179246.201953,39.540917,-119.746761,169.000000,
6451.000000,-2117678.252589,142838.079556,39.144700,-119.766100,170.000000,
22169.000000,-1078608.450590,-532367.551291,35.134300,-106.585200,171.000000,
22168.000000,-1078235.995738,-543681.990283,35.017080,-106.657390,172.000000,
21434.000000,-1136089.907482,-832776.815267,32.322037,-106.768337,173.000000,
26565.000000,-788382.042703,-830345.520585,32.726656,-103.122917,174.000000,
20413.000000,-1194933.705966,-326928.692430,36.774162,-108.165034,175.000000,
23059.000000,-1017316.668985,-474188.410113,35.671142,-105.954188,176.000000,
7226.000000,-2055159.873163,717076.513048,44.299787,-120.844773,177.000000,
9030.000000,-1937562.806276,594718.785462,43.589250,-119.048720,178.000000,
3987.000000,-2276399.814346,553789.344453,42.314110,-122.879230,179.000000,
3670.000000,-2298204.440775,579975.208002,42.434139,-123.348466,180.000000,
5206.000000,-2190846.580005,518117.528391,42.190296,-121.731369,181.000000,
7024.000000,-2073498.427892,477314.963377,42.189215,-120.353969,182.000000,
4507.000000,-2236298.688233,743948.080565,44.067224,-123.141352,183.000000,
4506.000000,-2234015.595481,734544.115454,44.026312,-123.083737,184.000000,
4681.000000,-2222785.662456,733465.872830,44.046696,-123.017704,185.000000,
5221.000000,-2187165.405138,697098.244288,43.744352,-122.480487,186.000000,
4504.000000,-2236463.421999,708723.556691,43.799501,-123.053487,187.000000,
5785.000000,-2146337.175172,887984.344883,45.496641,-122.602877,188.000000,
10134.000000,-1859967.110553,820503.810002,45.652231,-118.823033,189.000000,
10314.000000,-1847879.777958,820281.782418,45.664080,-118.689090,190.000000,
5420.000000,-2170216.601081,900410.387583,45.528501,-122.972398,191.000000,
16723.000000,-1432265.705978,243499.017254,41.492707,-112.018863,192.000000,
17081.000000,-1407677.972596,266840.249936,41.731111,-111.837500,193.000000,
16716.000000,-1434766.922785,159189.689056,40.736389,-111.872222,194.000000,
16180.000000,-1469052.960784,150146.431939,40.543309,-112.299618,195.000000,
19908.000000,-1222628.035778,21213.400042,39.868622,-109.097302,196.000000,
16889.000000,-1424443.546985,98772.695281,40.253611,-111.663056,197.000000,
16890.000000,-1422826.442263,112076.386487,40.341389,-111.713611,198.000000,
16888.000000,-1423881.856927,87647.729372,40.136336,-111.660502,199.000000,
13826.000000,-1634977.301956,-206357.932199,37.179125,-113.305096,200.000000,
14184.000000,-1610398.139911,-206396.247725,37.198300,-113.150600,201.000000,
16720.000000,-1434027.677726,206677.446708,41.206321,-111.975524,202.000000,
9248.000000,-1917845.924184,1034528.776546,47.430610,-120.341950,203.000000,
5968.000000,-2135779.104848,897920.266602,45.648333,-122.586944,204.000000,
6895.000000,-2068316.131610,1102509.594292,47.592675,-122.627397,205.000000,
6891.000000,-2069392.832482,1054686.686336,47.186400,-122.451700,206.000000,
7260.000000,-2045660.895059,1123919.187450,47.806400,-122.316700,207.000000,
8170.000000,-1983083.900686,1148325.622455,48.246900,-121.603100,208.000000,
7444.000000,-2031118.197559,1149526.278576,48.054315,-122.171529,209.000000,
12670.000000,-1688076.675321,1007050.335902,47.672482,-117.364852,210.000000,
7632.000000,-2017071.353517,1221383.835281,48.762780,-122.440280,211.000000,
8697.000000,-1954753.400119,952742.648371,46.598056,-120.499167,212.000000,
24525.000000,-905972.579161,134698.663984,41.311586,-105.591725,213.000000,
21906.000000,-1076650.866007,557687.223407,44.835700,-108.386000,214.000000,
25082.000000,-860244.807099,470723.151889,44.265833,-105.504167,215.000000,
25428.000000,-838382.126516,397848.149977,43.648300,-105.213300,216.000000,
25256.000000,-851364.509331,443922.465019,44.097074,-105.343164,217.000000,
25084.000000,-861056.075432,493285.110582,44.502675,-105.539763,218.000000,
22762.000000,-1025704.453062,208177.961803,41.783389,-107.119184,219.000000,
25068.000000,-864897.125051,302459.775048,42.766972,-105.303528,220.000000,
25074.000000,-863704.797788,373770.322643,43.426621,-105.386453,221.000000,
20998.000000,-1144362.165574,306104.052598,42.529999,-108.720003,222.000000,
22420.000000,-1043733.228864,355005.465027,43.081667,-107.549444,223.000000,
21001.000000,-1141388.105070,344137.117572,42.841049,-108.736277,224.000000,
25945.000000,-810210.654406,225480.977547,42.203452,-104.545153,225.000000,
25404.000000,-846348.061974,109405.801122,41.139976,-104.817801,226.000000,
25582.000000,-833572.774294,121558.284326,41.182227,-104.778334,227.000000,
23832.000000,-948751.621627,316454.443470,42.851064,-106.325088,228.000000,
21017.000000,-1135860.494304,536650.572410,44.532426,-109.072975,229.000000,
23497.000000,-966607.176507,545262.962343,44.815142,-106.955933,230.000000,
23496.000000,-967758.947389,532424.918495,44.795508,-106.958569,231.000000,
19229.000000,-1258526.230268,385150.033948,42.980000,-110.353000,232.000000,
